model,MAE,MSE,RMSE,R2
Linear Regression,10061543.938407138,314754295043199.0,17741316.045975816,0.8428682719105314
CatBoost,10221611.909113616,316311081327077.44,17785136.52821022,0.8420910926221018
Gradient Boosting,10228611.905755362,324532803395590.7,18014794.01479769,0.8379866422084243
Random Forest,10288182.43561535,385738378699041.2,19640223.489029884,0.8074315776148774
XGBoost,10375472.425287357,420729126629459.1,20511682.686446257,0.7899634865481774
Decision Tree,12051639.796997556,561207522557063.2,23689818.96421041,0.7198338220480902
